gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,acceptances,waitlists,rejections,note,acceptances_clean,waitlists_clean,rejections_clean,num_acceptances,num_waitlists,num_rejections
M,HISPANIC,MA,High,PUBLIC,URM,ENG,1520,4.5,6.5,['*BOSTON UNIVERSITY'],[],['*NORTHEASTERN'],NA,BOSTON UNIVERSITY,,NORTHEASTERN,1,0,1
M,ASIAN,CA,High,PUBLIC,NONE,CS,1580,8.5,4.5,['*BERKELEY'],[],"['*HARVARD', '*STANFORD', '*PRINCETON', '*MIT']",NA,BERKELEY,,"HARVARD, STANFORD, PRINCETON, MIT",1,0,4
F,WHITE,LA,Low,NA,LEGACY,BIO,1530,6.5,4.2,[],[],"['*BROWN', '*WILLIAMS']",NA,,,"BROWN, WILLIAMS",0,0,2
M,ASIAN,CO,Low,NA,FIRST-GEN,BUSINESS,1530,2.5,3.5,"['*MIT', '*EMORY', '*NORTHEASTERN']","['*NORTHWESTERN', '*UMICH', '*BOSTON COLLEGE', '*UVA', '*UCI']","['*UCLA', '*YALE', '*CORNELL', '*BERKELEY', '*NYU', '*UPENN', '*EMORY', '*UCHICAGO']",NA,"MIT, EMORY, NORTHEASTERN","NORTHWESTERN, UMICH, BOSTON COLLEGE, UVA, UCI","UCLA, YALE, CORNELL, BERKELEY, NYU, UPENN, EMORY, UCHICAGO",3,5,8
F,ASIAN,CA,Low,NA,NONE,NA,1530,1,2.5,"['*UCSD', '*UCSB', '*UCD']",['*UCLA'],"['*STANFORD', '*BERKELEY', '*UMICH']",NA,"UCSD, UCSB, UCD",UCLA,"STANFORD, BERKELEY, UMICH",3,1,3
NB,WHITE,MA,Middle,NA,NONE,POLISCI,1500,3.5,1.5,[],['*CLAREMONT MCKENNA'],"['*SWARTHMORE', '*POMONA']",NA,,CLAREMONT MCKENNA,"SWARTHMORE, POMONA",0,1,2
M,ASIAN,MA,High,PUBLIC,NONE,CS,1560,6.5,6.5,"['*PURDUE', '*NYU']","['*UMICH', '*NORTHEASTERN']","['*UCLA', '*HARVARD', '*BROWN', '*BERKELEY', '*DARTMOUTH', '*CMU', '*NYU', '*UPENN', '*UT-AUSTIN', '*UVA']",NA,"PURDUE, NYU","UMICH, NORTHEASTERN","UCLA, HARVARD, BROWN, BERKELEY, DARTMOUTH, CMU, NYU, UPENN, UT-AUSTIN, UVA",2,2,10
F,ASIAN,OR,High,PUBLIC,NONE,ENG,1560,6.5,4.5,"['*CORNELL', '*CASE WESTERN', '*UVA']","['*GEORGIA TECH', '*RICE', '*UMICH']","['*COLUMBIA', '*MIT', '*UPENN']",NA,"CORNELL, CASE WESTERN, UVA","GEORGIA TECH, RICE, UMICH","COLUMBIA, MIT, UPENN",3,3,3
M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5,4.5,"['*CORNELL', '*MIT', '*CALTECH', '*CMU', '*USC']","['*RICE', '*UNC CHAPEL HILL']","['*YALE', '*BROWN', '*STANFORD', '*PRINCETON', '*UPENN']",NA,"CORNELL, MIT, CALTECH, CMU, USC","RICE, UNC CHAPEL HILL","YALE, BROWN, STANFORD, PRINCETON, UPENN",5,2,5
F,BLACK,NA,Low,NA,URM,BUSINESS,1430,6.5,4.5,"['*BOSTON COLLEGE', '*RUTGERS']",[],"['*YALE', '*SWARTHMORE', '*UPENN', '*EMORY', '*USC']",NA,"BOSTON COLLEGE, RUTGERS",,"YALE, SWARTHMORE, UPENN, EMORY, USC",2,0,5
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,NA,1430,5.5,2.5,"['*CORNELL', '*SWARTHMORE', '*POMONA', '*UW MADISON']","['*RICE', '*WASHU', '*UCHICAGO']","['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*DUKE', '*PRINCETON', '*MIT', '*DARTMOUTH', '*UPENN']",NA,"CORNELL, SWARTHMORE, POMONA, UW MADISON","RICE, WASHU, UCHICAGO","HARVARD, YALE, BROWN, STANFORD, NORTHWESTERN, COLUMBIA, DUKE, PRINCETON, MIT, DARTMOUTH, UPENN",4,3,11
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5,7.2,"['*UCLA', '*BERKELEY', '*UCSD', '*POMONA', '*UCSB', '*UCD', '*CLAREMONT MCKENNA']",['*WILLIAMS'],"['*HARVARD', '*STANFORD', '*COLUMBIA', '*MIT', '*DARTMOUTH', '*VANDERBILT', '*UPENN', '*USC', '*San Jose State University']",NA,"UCLA, BERKELEY, UCSD, POMONA, UCSB, UCD, CLAREMONT MCKENNA",WILLIAMS,"HARVARD, STANFORD, COLUMBIA, MIT, DARTMOUTH, VANDERBILT, UPENN, USC, San Jose State University",7,1,9
F,HISPANIC,FL,Low,PUBLIC,NONE,DESIGN,1320,5.5,8.7,"['*CMU', '*WASHU']",['*CORNELL'],['*MIT'],NA,"CMU, WASHU",CORNELL,MIT,2,1,1
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CS,1370,2,2.5,[],[],"['*NYU', '*FORDHAM']",NA,,,"NYU, FORDHAM",0,0,2
