student_id,gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,target_college,accepted
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,UCI,1
86,M,WHITE,MD,Low,PUBLIC,NONE,UNDECIDED,1460,2,3.5,UW MADISON,1
87,F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,UCSD,1
87,F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,USC,1
87,F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,UCD,1
87,F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,UCSC,1
87,F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,BOSTON UNIVERSITY,1
87,F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,San Jose State University,1
88,M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,CMU,1
88,M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,UMICH,1
88,M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,BOSTON COLLEGE,1
88,M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,NORTHEASTERN,1
89,M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5,4.5,NORTHWESTERN,1
89,M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5,4.5,DUKE,1
89,M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5,4.5,DARTMOUTH,1
89,M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5,4.5,RICE,1
89,M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5,4.5,UMICH,1
89,M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5,4.5,EMORY,1
89,M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5,4.5,UNC CHAPEL HILL,1
89,M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5,4.5,UVA,1
91,F,BLACK,CA,Low,PUBLIC,URM,BIO,1080,1.5,6.2,UCD,1
92,M,ASIAN,IN,Low,PRIVATE,NONE,ENG,1460,6,4.5,UPENN,1
93,T,WHITE,NY,Low,PRIVATE,NONE,CS,1600,6.5,4.5,UCD,1
93,T,WHITE,NY,Low,PRIVATE,NONE,CS,1600,6.5,4.5,UCSC,1
94,M,ASIAN,AZ,High,PUBLIC,NONE,BUSINESS,1480,6.5,4.5,ARIZONA STATE,1
95,M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,BERKELEY,1
