Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Acceptances,Waitlists,Rejections,Note
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,"['*UCSD', '*JOHNS HOPKINS', '*POMONA', '*UCSB', '*UCI']",['*UCLA'],"['*CORNELL', '*BERKELEY', '*DUKE', '*CMU', '*USC']",
M,HISPANIC,IL,-1,PUBLIC,FIRST-GEN,ENG,1390,8.5,2.5,['*CORNELL'],[],"['*COLUMBIA', '*MIT']",
M,WHITE,CA,High,PUBLIC,LEGACY,CS,1480,5,4.7,"['*USC', '*UIUC', '*UW MADISON']","['*UMICH', '*TULANE']","['*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*DARTMOUTH', '*NYU']",
M,HISPANIC,MA,High,PUBLIC,URM,ENG,1520,4.5,6.5,['*BOSTON UNIVERSITY'],[],['*NORTHEASTERN'],
M,ASIAN,CA,High,PUBLIC,NONE,CS,1580,8.5,4.5,['*BERKELEY'],[],"['*HARVARD', '*STANFORD', '*PRINCETON', '*MIT']",
F,WHITE,LA,Low,-1,LEGACY,BIO,1530,6.5,4.2,[],[],"['*BROWN', '*WILLIAMS']",
M,ASIAN,CO,Low,-1,FIRST-GEN,BUSINESS,1530,2.5,3.5,"['*MIT', '*EMORY', '*NORTHEASTERN']","['*NORTHWESTERN', '*UMICH', '*BOSTON COLLEGE', '*UVA', '*UCI']","['*UCLA', '*YALE', '*CORNELL', '*BERKELEY', '*NYU', '*UPENN', '*EMORY', '*UCHICAGO']",
F,ASIAN,CA,Low,-1,NONE,-1,1530,1,2.5,"['*UCSD', '*UCSB', '*UCD']",['*UCLA'],"['*STANFORD', '*BERKELEY', '*UMICH']",
NB,WHITE,MA,Middle,-1,NONE,POLISCI,1500,3.5,1.5,[],['*CLAREMONT MCKENNA'],"['*SWARTHMORE', '*POMONA']",
M,ASIAN,MA,High,PUBLIC,NONE,CS,1560,6.5,6.5,"['*PURDUE', '*NYU']","['*UMICH', '*NORTHEASTERN']","['*UCLA', '*HARVARD', '*BROWN', '*BERKELEY', '*DARTMOUTH', '*CMU', '*NYU', '*UPENN', '*UT-AUSTIN', '*UVA']",
